id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2503630,Upscale Stay in Prime DC Location,3428321,Stuart,,"West End, Foggy Bottom, GWU",38.90656954,-77.05050095,Private room,85,1,1,3/27/14,0.02,1,0
1239758,Capital Hill/H Street Gem!,6757589,Maisa,,"Union Station, Stanton Park, Kingman Park",38.89720353,-76.98142372,Entire home/apt,350,2,2,6/7/14,0.04,1,0
1640759,Comfortable Capitol Hill 2Bed/2Bath,8711271,Daniel,,"Union Station, Stanton Park, Kingman Park",38.90623327,-77.00353165,Entire home/apt,1000,4,9,7/4/14,0.17,1,365
1301700,DuPont/Logan Circle Studio,7077536,Brett,,"Dupont Circle, Connecticut Avenue/K Street",38.90684453,-77.03475492,Entire home/apt,79,3,4,7/5/14,0.07,1,137
2932425,"Woodley Park, steps from Natnl Zoo",14973766,Juan & Rachel,,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",38.92972782,-77.0550637,Entire home/apt,120,3,2,7/6/14,0.04,1,0
2713612,Logan Circle comfort & convenience,13886934,Ali,,"Shaw, Logan Circle",38.9102515,-77.02935562,Entire home/apt,135,3,1,7/19/14,0.02,2,0
1886171,Lovely row house in historic Shaw,4291311,K De,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91526505,-77.01401282,Entire home/apt,115,7,1,7/22/14,0.02,1,0
1225965,Part City Part Country Homestay!,6686327,Yolanda,,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir",38.9298698,-77.08387838,Entire home/apt,115,2,9,8/3/14,0.16,1,358
2494782,"Townhouse in central Washington, DC",12515938,Nico,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.93190563,-77.02684422,Entire home/apt,150,4,1,8/3/14,0.02,1,0
3246480,Sunny 1-BR Apt in NW Wash DC (Aug.),16422363,David,,"Brightwood Park, Crestwood, Petworth",38.93835277,-77.02590472,Entire home/apt,78,7,1,8/3/14,0.02,1,0
834961,Private Room in Penthouse Loft ,3595334,Sarah & Ajene,,"Union Station, Stanton Park, Kingman Park",38.8972454,-76.97124527,Private room,79,1,41,8/11/14,0.65,1,0
870948,U Street/ Dupont bright studio,4282120,Louise,,"Dupont Circle, Connecticut Avenue/K Street",38.9176338,-77.03939588,Entire home/apt,105,1,8,8/11/14,0.17,1,0
525213,New job in DC? Congrats! Here's your new home..,2581910,Hiranya,,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",38.93809073,-77.06002549,Private room,98,3,10,8/31/14,0.14,1,304
2295228,"Lux 1 Bedroom Apt by Metro, 2 rooftop pools",9419684,Mike,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.9003508,-77.01587161,Entire home/apt,225,3,2,9/23/14,0.04,53,106
3476251,Modern One Bedroom w/ Outdoor Space,9430439,Jessica,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92384224,-77.03025659,Entire home/apt,110,5,3,9/28/14,0.07,1,0
313405,Blue Room - Washington 1-2?p Bedroom Near Metro,1541062,Donna,,"Colonial Village, Shepherd Park, North Portal Estates",38.98052366,-77.02992149,Private room,75,1,6,10/11/14,0.08,2,365
